sample_id,class_name,label,standardized_relative_path,quality_status,near_duplicate_group_id,leakage_group_id,holdout_split,cv_fold
yes_f4a7b91418b53b36,yes,1,data/processed/classification_384/yes/yes_f4a7b91418b53b36.png,pass,,sample::yes_f4a7b91418b53b36,development,4
no_2bf7be1a79c255eb,no,0,data/processed/classification_384/no/no_2bf7be1a79c255eb.png,pass,,sample::no_2bf7be1a79c255eb,test,
no_3e7a6a53891855f9,no,0,data/processed/classification_384/no/no_3e7a6a53891855f9.png,pass,,sample::no_3e7a6a53891855f9,test,
no_4cfec6cb822f28e3,no,0,data/processed/classification_384/no/no_4cfec6cb822f28e3.png,pass,ndg_005,ndg_005,test,
no_4de73fbc94cb1228,no,0,data/processed/classification_384/no/no_4de73fbc94cb1228.png,pass,,sample::no_4de73fbc94cb1228,test,
no_6b8f5ec5f96e63fb,no,0,data/processed/classification_384/no/no_6b8f5ec5f96e63fb.png,pass,,sample::no_6b8f5ec5f96e63fb,test,
no_9519716335d92af1,no,0,data/processed/classification_384/no/no_9519716335d92af1.png,pass,,sample::no_9519716335d92af1,test,
no_a7b267cdd9f7c6fa,no,0,data/processed/classification_384/no/no_a7b267cdd9f7c6fa.png,pass,,sample::no_a7b267cdd9f7c6fa,test,
no_b494332cd5c534f3,no,0,data/processed/classification_384/no/no_b494332cd5c534f3.png,pass,,sample::no_b494332cd5c534f3,test,
no_c1e6e2c30cf42eac,no,0,data/processed/classification_384/no/no_c1e6e2c30cf42eac.png,pass,,sample::no_c1e6e2c30cf42eac,test,
no_c86180edf0963ac9,no,0,data/processed/classification_384/no/no_c86180edf0963ac9.png,pass,,sample::no_c86180edf0963ac9,test,
no_e068f498bea26909,no,0,data/processed/classification_384/no/no_e068f498bea26909.png,pass,ndg_005,ndg_005,test,
no_f5c726bbddf4d79e,no,0,data/processed/classification_384/no/no_f5c726bbddf4d79e.png,pass,,sample::no_f5c726bbddf4d79e,test,
yes_0813574b1a010840,yes,1,data/processed/classification_384/yes/yes_0813574b1a010840.png,pass,,sample::yes_0813574b1a010840,test,
yes_0b2d04f189d1d98d,yes,1,data/processed/classification_384/yes/yes_0b2d04f189d1d98d.png,pass,,sample::yes_0b2d04f189d1d98d,test,
yes_0cf3fb8cc340eaed,yes,1,data/processed/classification_384/yes/yes_0cf3fb8cc340eaed.png,pass,,sample::yes_0cf3fb8cc340eaed,test,
yes_0f7b997ab55aac23,yes,1,data/processed/classification_384/yes/yes_0f7b997ab55aac23.png,pass,,sample::yes_0f7b997ab55aac23,test,
yes_1798b839664a659d,yes,1,data/processed/classification_384/yes/yes_1798b839664a659d.png,pass,,sample::yes_1798b839664a659d,test,
yes_3480d23ec7849a5f,yes,1,data/processed/classification_384/yes/yes_3480d23ec7849a5f.png,pass,,sample::yes_3480d23ec7849a5f,test,
yes_5e62f03b25850af9,yes,1,data/processed/classification_384/yes/yes_5e62f03b25850af9.png,pass,,sample::yes_5e62f03b25850af9,test,
yes_6f6eff9d836c52f1,yes,1,data/processed/classification_384/yes/yes_6f6eff9d836c52f1.png,pass,,sample::yes_6f6eff9d836c52f1,test,
yes_78f18e7c21c4783f,yes,1,data/processed/classification_384/yes/yes_78f18e7c21c4783f.png,pass,,sample::yes_78f18e7c21c4783f,test,
yes_7f2b3578b65ec9b6,yes,1,data/processed/classification_384/yes/yes_7f2b3578b65ec9b6.png,pass,,sample::yes_7f2b3578b65ec9b6,test,
yes_86bda4b0e7608462,yes,1,data/processed/classification_384/yes/yes_86bda4b0e7608462.png,pass,,sample::yes_86bda4b0e7608462,test,
yes_88c7273fc317954e,yes,1,data/processed/classification_384/yes/yes_88c7273fc317954e.png,pass,,sample::yes_88c7273fc317954e,test,
yes_8c9eb9ed6af955f9,yes,1,data/processed/classification_384/yes/yes_8c9eb9ed6af955f9.png,pass,,sample::yes_8c9eb9ed6af955f9,test,
yes_a9a52ad93afdcc56,yes,1,data/processed/classification_384/yes/yes_a9a52ad93afdcc56.png,pass,,sample::yes_a9a52ad93afdcc56,test,
yes_ad5145082de2ebd1,yes,1,data/processed/classification_384/yes/yes_ad5145082de2ebd1.png,pass,,sample::yes_ad5145082de2ebd1,test,
yes_ae487d861b32ea3e,yes,1,data/processed/classification_384/yes/yes_ae487d861b32ea3e.png,pass,ndg_017,ndg_017,test,
yes_b2d81d163bb6d914,yes,1,data/processed/classification_384/yes/yes_b2d81d163bb6d914.png,pass,,sample::yes_b2d81d163bb6d914,test,
yes_d1edba4f1b753dd7,yes,1,data/processed/classification_384/yes/yes_d1edba4f1b753dd7.png,pass,,sample::yes_d1edba4f1b753dd7,test,
yes_db1cffa2ca584e5e,yes,1,data/processed/classification_384/yes/yes_db1cffa2ca584e5e.png,pass,,sample::yes_db1cffa2ca584e5e,test,
yes_fb5342d3bdd4cd04,yes,1,data/processed/classification_384/yes/yes_fb5342d3bdd4cd04.png,pass,ndg_017,ndg_017,test,
